CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;0;10;1;1023.28;-1.#INF;37;39;-1.07374e+008;31;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;1;10;1;1023.28;-1.#INF;0;1;-1.07374e+008;1;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;1;10;1;1023.28;-1.#INF;0;1;-1.07374e+008;0;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;1;1000;1;1023.28;-1.#INF;67;2;-1.07374e+008;9;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 0;false;1;1000;1;1023.28;-1.#INF;67;2;-1.07374e+008;11;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 1;false;1;1000;1;1023.28;-1.#INF;94;5;-1.07374e+008;34;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
